#Table1
objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237671939804562519,6162,301,3,133,1111,3,258.134366867339,64.0904970140444,22.49037,21.88275,21.27185,20.89672,20.78156,0.3281497,0.07351734,0.06016701,0.06136403,0.2128861
1237671939804562500,6162,301,3,133,1092,3,258.120832995636,64.0932605256732,25.32359,22.58471,22.40378,22.15885,23.16862,0.8671053,0.1275048,0.1508694,0.1731334,0.6147791
1237671939804561946,6162,301,3,133,538,3,258.121165895025,64.0965350590007,20.81779,18.98505,18.10111,17.68545,17.34735,0.1160855,0.01117278,0.007905812,0.007744734,0.01839072
1237671939804561965,6162,301,3,133,557,3,258.138062223566,64.095758098203,25.38673,20.43143,19.58249,19.21134,18.98738,1.092832,0.02707225,0.01848093,0.0186785,0.05473446
1237671939804562505,6162,301,3,133,1097,3,258.123136920226,64.0894368765646,22.55269,20.78822,20.39397,19.98551,19.97561,0.7712131,0.06217839,0.06475735,0.06589161,0.2578578
1237671939804562518,6162,301,3,133,1110,3,258.129822061355,64.0976554877907,26.26352,22.64985,22.3225,22.8514,21.88928,0.6422623,0.1897994,0.2019823,0.4523271,0.6903781
1237671939804561499,6162,301,3,133,91,3,258.128664054685,64.0847645437116,20.98552,18.87458,18.08698,17.70305,17.51882,0.1168002,0.009900299,0.007427228,0.007368355,0.01900527
1237671939804561502,6162,301,3,133,94,6,258.140404317192,64.0879558914026,20.66384,19.39912,19.0281,18.89116,18.85402,0.06758049,0.01162391,0.01083688,0.0123716,0.03662841
1237671939804561964,6162,301,3,133,556,3,258.141963755811,64.0971865576797,18.70765,17.85798,17.73391,17.49046,17.52496,0.02258421,0.005606221,0.006102857,0.006570333,0.02033918
1237671939804561972,6162,301,3,133,564,6,258.152394219089,64.0966817379331,21.29096,19.70034,19.04543,18.78815,18.64877,0.1049584,0.01368435,0.010878,0.01152676,0.03108105
1237671939804562088,6162,301,3,133,680,6,258.112542700565,64.0908704131868,24.88345,20.78678,19.33104,18.51836,18.0749,0.921048,0.02807086,0.01284749,0.009921265,0.02092649
1237671939804562485,6162,301,3,133,1077,3,258.10959410638,64.0934055885741,23.7158,22.35021,21.69571,21.71431,21.67259,1.055021,0.1370274,0.113023,0.1673326,0.5858236
1237671939804562495,6162,301,3,133,1087,3,258.113923194636,64.0990389078652,22.93188,22.22757,22.02582,21.89028,22.84011,0.6717311,0.1379093,0.1646822,0.2106408,1.011278
1237671939804562844,6162,301,3,133,1436,3,258.117111006447,64.0900976737484,27.60723,22.31022,21.36779,20.97743,21.72789,0.4109106,0.2777755,0.185044,0.1860384,1.372149
1237671939804561481,6162,301,3,133,73,3,258.157927024659,64.0887592156704,20.51149,18.47374,17.58412,17.13854,16.87547,0.07396996,0.0075822,0.005570981,0.005395194,0.01160764
1237671939804561485,6162,301,3,133,77,3,258.150217137187,64.0855373623478,20.90478,18.53858,17.64123,17.19605,16.9106,0.1044246,0.007956353,0.005781264,0.005576731,0.01222019
1237671939804561491,6162,301,3,133,83,3,258.109779747288,64.082119760561,21.07705,18.82711,17.85458,17.41082,17.12147,0.1178399,0.009114406,0.006221281,0.005945647,0.01355144
1237671939804561596,6162,301,3,133,188,6,258.169490501152,64.0981504639698,24.55052,24.24618,23.03782,21.96429,22.7223,0.934421,0.4764215,0.2381706,0.1279629,0.544968
1237671939804561597,6162,301,3,133,189,3,258.170734166126,64.0955823618523,24.60776,24.59553,23.95067,23.56436,22.13702,2.647128,0.8721582,0.815334,0.824068,1.081775
1237671939804561599,6162,301,3,133,191,3,258.168097999328,64.0962170987239,24.79654,25.14916,24.53141,22.77975,22.85342,1.052995,0.6217284,0.64926,0.2905717,0.6557854
1237671939804561924,6162,301,3,133,516,6,258.089423768822,64.0874780222787,23.83983,21.1104,19.8301,19.45891,18.98607,0.7843481,0.04222449,0.01938131,0.01895861,0.04230168
1237671939804561948,6162,301,3,133,540,3,258.11957617278,64.1090825481144,18.62674,17.77855,17.48283,17.19004,17.1299,0.02384325,0.005790633,0.005766704,0.00604723,0.01644538
1237671939804561973,6162,301,3,133,565,3,258.150116974027,64.0991273348635,22.12646,20.16824,19.43445,19.04507,18.77232,0.3005954,0.02254238,0.017302,0.01751144,0.05011097
1237671939804561974,6162,301,3,133,566,6,258.156010546678,64.0987079038186,22.06842,21.05774,20.5939,20.48065,20.41827,0.1958779,0.03409633,0.03012633,0.03655694,0.1271333
1237671939804562471,6162,301,3,133,1063,3,258.096998270117,64.0983174424652,23.67861,21.66832,20.04966,19.22316,18.9115,0.8072964,0.06191928,0.02299306,0.01676835,0.04441236
1237671939804562479,6162,301,3,133,1071,3,258.103590329336,64.0929137111809,23.82494,21.51461,21.25737,20.99399,20.3645,1.487638,0.08474298,0.1016067,0.1187998,0.2664008
1237671939804562548,6162,301,3,133,1140,6,258.152289992892,64.1021779576643,24.33214,22.90966,21.50833,19.92992,19.13343,0.9019026,0.1498133,0.06126403,0.02395962,0.04436386
1237671939804562557,6162,301,3,133,1149,3,258.157277112747,64.103771284195,23.07491,22.73141,22.04925,21.50927,21.5215,0.5427075,0.1561205,0.1224214,0.1090612,0.4084467
1237671939804562563,6162,301,3,133,1155,3,258.166621442712,64.0928928979622,21.94035,20.09043,19.24801,18.86247,18.60214,0.2776813,0.02270414,0.01614173,0.01644131,0.04770129
1237671939804563009,6162,301,3,133,1601,3,258.103992249599,64.090220373271,25.51157,23.99989,25.66896,23.03128,20.49096,0.7390208,0.3788416,0.456016,0.3274711,0.1500361
1237671768542545404,6122,301,4,130,1532,3,258.108713845302,64.114977008503,24.34735,23.53608,22.72927,22.76271,22.58123,1.090044,0.2763385,0.1898747,0.2850603,0.8146863
